"Rule ID","Rule","Reaction order","EC number"
"1.1.1.R1","([#8:4](-[#1])-[#6:2](-[#6,#1:1])(-[#1])-[*,#1:3])>>([*:1]-[#6:2](-[*:3])=[O:4])",1,"1.1.1.-"
"1.1.1.R2","([#6,#1:1]-[#6:2](-[#6,#1:3])=[O:4])>>([#8:4](-[#1])-[#6:2](-[*:1])(-[#1])-[*:3])",1,"1.1.1.-"
"1.1.1.R3","([H:4][#8:1][C:2]([H])([H])[#6,#1:3])>>([H:4][#8:1]-[#6:2](-[*:3])=O)",1,"1.1.1.-"
"1.1.1.R4","([H:4][#8:1]-[#6:2](-[#6,#1:3])=O)>>([H:4][#8:1][C:2]([H])([H])[*:3])",1,"1.1.1.-"
"1.2.1.R5","([H][#6:1](-[#6,#1:2])=[O:3])>>([H][#8]-[#6:1](-[*:2])=[O:3])",1,"1.2.1.-"
"1.2.1.R6","([H][#8]-[#6:1](-[#6,#1:2])=[O:3])>>([H][#6:1](-[*:2])=[O:3])",1,"1.2.1.-"
"1.2.1.R7","([H][C:1]([H])([H])[#6:2]=[O:3])>>([H][C:1]([H])([H])[#6:2](-[#16])=[O:3])",1,"1.2.1.-"
"1.2.1.R8","([H][C:1]([H])([H])[#6:2](-[#16])=[O:3])>>([H][C:1]([H])([H])[#6:2]=[O:3])",1,"1.2.1.-"
"1.2.1.R9","([H:8][C:1]([H:9])([H:10])[#6:2](=[O:3])-[#6](=O)-[#8]-[#6])>>([H:10][C:1]([H:9])([H:8])[#6:2](-[#16])=[O:3])",1,"1.2.1.-"
"1.2.1.R10","([H:10][C:1]([H:9])([H:8])[#6:2](-[#16])=[O:3])>>([H:8][C:1]([H:9])([H:10])[#6:2](=[O:3])-[#6](=O)-[#8]-[#6])",1,"1.2.1.-"
"1.2.1.R11","([H][#8]-[#6](=O)-[#6:1]-[#6:2]([H])=[O:3])>>([H][C:1]([H])([H])[#6:2](-[#16])=[O:3])",1,"1.2.1.-"
"1.2.1.R12","([H][C:1]([H])([H])[#6:2](-[#16])=[O:3])>>([H][#8]-[#6](=O)-[#6:1]-[#6:2]=[O:3])",1,"1.2.1.-"
"1.3.1.R13","([H][C:2]([#6,#8,#1:5])([#6,#1:6])[C:1]([H])([#6,#8,#1:3])[#6,#1:4])>>([*:4]\[#6:1](-[*:3])=[#6:2](\[*:5])-[*:6])",1,"1.3.1.-"
"1.3.1.R14","([#6,#1:1]\[#6:2](-[#6,#8,#1:3])=[#6:4](\[#6,#8,#1:5])-[#6,#1:6])>>[H][C:2]([*:1])([*:6])[C:4]([H])([*:5])[*:3]",1,"1.3.1.-"
"1.4.1.R15","([H][#7]([H])[C:2]([H])([#6,#1:3])[#6,#1:4])>>([*:3]-[#6:2](-[*:4])=O)",1,"1.4.1.-"
"1.4.1.R16","([#6,#1:3]-[#6:2](-[#6,#1:4])=O)>>([H][#7]([H])[C:2]([H])([*:3])[*:4])",1,"1.4.1.-"
"2.3.1.R17","([#16]-[#6:2](-[#6,#1:4])=[O:1])>>([H][#8]P(=O)([#8][H])[#8]-[#6:2](-[*:4])=[O:1])",1,"2.3.1.-"
"2.3.1.R18","([H][#8]P(=O)([#8][H])[#8]-[#6:2](-[#6,#1:4])=[O:1])>>([#16]-[#6:2](-[*:4])=[O:1])",1,"2.3.1.-"
"2.3.1.R19","([#16]-[#6:2](-[#6,#1:4])=[O:1])>>([#16]-[#6](=O)-[#6]-[#6:2](-[*:4])=[O:1])",1,"2.3.1.-"
"2.3.1.R20","([H]C([H])([#6](-[#16])=O)[#6:2](-[#6,#1:4])=[O:1])>>([#16]-[#6:2](-[*:4])=[O:1])",1,"2.3.1.-"
"2.6.1.R21","([#6,#1:2]-[#6:1](-[#6,#1:3])=O)>>([H][#7]([H])-[#6:1](-[*:2])-[*:3])",1,"2.6.1.-"
"2.6.1.R22","([H][#7]([H])[C:1]([H])([#6,#1:2])[#6,#1:3])>>([*:2]-[#6:1](-[*:3])=O)",1,"2.6.1.-"
"2.7.1.R23","([H][#8:4][C:1]([#6,#1:2])([#6,#1:3])[#6,#1:5])>>([#8]P([#8])(=O)[#8:4][C:1]([*:2])([*:5])[*:3])",1,"2.7.1.-"
"2.7.1.R24","([#8]P([#8])(=O)[#8:4][C:1]([#6,#1:2])([#6,#1:5])[#6,#1:3])>>([H][#8:4][C:1]([*:2])([*:3])[*:5])",1,"2.7.1.-"
"2.7.1.R25","([H:10][#8:1]-[#6:2](=[O:3])-[#6:4](=[O:5])[C:6]([H:8])([H])[#6,#1:7])>>([H:10][#8:1]-[#6:2](=[O:3])-[#6:4](-[#8:5]P([#8])([#8])=O)=[#6:6]([H:8])-[*:7])",1,"2.7.1.-"
"2.7.1.R26","([H:10][#8:1]-[#6:2](=[O:3])-[#6:4](-[#8:5]P([#8])([#8])=O)=[#6:6]([H:8])-[#6,#1:7])>>([H:10][#8:1]-[#6:2](=[O:3])-[#6:4](=[O:5])[C:6]([H:8])([H])[*:7])",1,"2.7.1.-"
"2.7.2.R27","([H][#8:1]-[#6:2]=[O:3])>>([H][#8]P(=O)([#8][H])[#8:1]-[#6:2]=[O:3])",1,"2.7.2.-"
"2.7.2.R28","([H][#8]P(=O)([#8][H])[#8:1]-[#6:2]=[O:3])>>([H][#8:1]-[#6:2]=[O:3])",1,"2.7.2.-"
"2.8.3.R29","([H][#8]-[#6:2](-[#6,#1:3])=[O:4])>>([#16]-[#6:2](-[*:3])=[O:4])",1,"2.8.3.-"
"2.8.3.R30","([#16]-[#6:2](-[#6,#1:3])=[O:4])>>([H][#8]-[#6:2](-[*:3])=[O:4])",1,"2.8.3.-"
"3.1.2.R31","([H][#8]-[#6:2](-[#6,#1:3])=[O:4])>>([#16]-[#6:2](-[*:3])=[O:4])",1,"3.1.2.-"
"3.1.2.R32","([#16]-[#6:2](-[#6,#1:3])=[O:4])>>([H][#8]-[#6:2](-[*:3])=[O:4])",1,"3.1.2.-"
"3.5.2.R33","([H][#7:8]-1-[#6:7]-[#6:6]-[#6:5]-[#6:4]-[#6:3]-[#6:2]-1=[O:1])>>([H][#8]-[#6:2](=[O:1])-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#7:8]([H])[H])",1,"3.5.2.-"
"3.5.2.R34","([H][#8]-[#6:2](=[O:1])-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#7:8]([H])[H])>>([H][#7:8]-1-[#6:7]-[#6:6]-[#6:5]-[#6:4]-[#6:3]-[#6:2]-1=[O:1])",1,"3.5.2.-"
"4.1.1.R35","([H][#8]-[#6](=O)[C:1]([H:6])([H:7])[H:8])>>([H:6][C:1]([H:8])([H:7])[H])",1,"4.1.1.-"
"4.1.1.R36","([H:6][C:1]([H:8])([H:7])[H])>>([H][#8]-[#6](=O)[C:1]([H:6])([H:7])[H:8])",1,"4.1.1.-"
"4.2.1.R37","([H][#8][C:1]([#6,#1:2])([#6,#1:3])[C:6]([H])([#6,#1:4])[#6,#1:5])>>([*:2]\[#6:1](-[*:3])=[#6:6](\[*:5])-[*:4])",1,"4.2.1.-"
"4.2.1.R38","([#6,#1:2]\[#6:1](-[#6,#1:3])=[#6:6](\[#6,#1:5])-[#6,#1:4])>>([H][#8][C:1]([*:2])([*:3])[#6:6](-[*:4])-[*:5])",1,"4.2.1.-"
"4.2.1.R39","([H][#8:5][C:6]([H])([#6,#1:4])[C:1]([#6,#1:2])([#6,#1:3])[#8][H])>>([*:2]-[#6:1](-[*:3])-[#6:6](-[*:4])=[O:5])",1,"4.2.1.-"
"4.2.1.R40","([H][C:1]([#6,#1:2])([#6,#1:3])[#6:6](-[#6,#1:4])=[O:5])>>([#8:5]-[#6:6](-[*:4])[C:1]([#8])([*:2])[*:3])",1,"4.2.1.-"
"4.3.1.R41","([H][#7]([H])[C:1]([#6,#1:2])([#6,#1:3])[C:6]([H])([#6,#1:4])[#6,#1:5])>>([*:3]\[#6:1](-[*:2])=[#6:6](\[*:4])-[*:5])",1,"4.3.1.-"
"4.3.1.R42","([#6,#1:3]\[#6:1](-[#6,#1:2])=[#6:6](\[#6,#1:4])-[#6,#1:5])>>([H][#7]([H])[C:1]([*:2])([*:3])[C:6]([H])([*:4])[*:5])",1,"4.3.1.-"
"4.3.1.R43","([H][#7]([H])[C:2]([H:7])([#6,#1:3])[C:4]([H])([#8:5])[#6,#1:6])>>([H:7][#6:2](-[*:3])-[#6:4](-[*:6])=[O:5])",1,"4.3.1.-"
"4.3.1.R44","([H:7][#6:2](-[#6,#1:3])-[#6:4](-[#6,#1:6])=[O:5])>>([H][#7]([H])-[#6:2](-[*:3])[C:4]([H])([#8:5])[*:6])",1,"4.3.1.-"
"5.4.3.R45","([H:6][#7:1]([H:7])[C:5]([H:8])([#6,#1:4])[C:2]([H:9])([H:10])[#6,#1:3])>>([H:6][#7:1]([H:7])[C:2]([H:10])([*:4])[C:5]([H:8])([H:9])[*:3])",1,"5.4.3.-"
"5.4.99.R46","([H:7][C:3]([H:8])([H:9])[#6:2](-[#6:4](-[#6,#1:5])=[O:6])[C:1]([H:10])([H:11])[H])>>([H:7][C:3]([H:9])([H:8])[#6:2][C:1]([H:10])([H:11])[#6:4](-[*:5])=[O:6])",1,"5.4.99.-"
"5.4.99.R47","([H:7][C:3]([H:9])([H:8])[#6:2][C:1]([H:10])([H:11])[#6:4](-[#6,#1:5])=[O:6])>>([H:7][C:3]([H:8])([H:9])[#6:2](-[#6:4](-[*:5])=[O:6])[C:1]([H:10])([H:11])[H])",1,"5.4.99.-"
"6.2.1.R48","([H][#8]-[#6:1](-[#6,#1:2])=[O:5])>>([#16]-[#6:1](-[*:2])=[O:5])",1,"6.2.1.-"
"6.2.1.R49","([#16]-[#6:1](-[#6,#1:2])=[O:5])>>([H][#8]-[#6:1](-[*:2])=[O:5])",1,"6.2.1.-"
