"Rule ID","Rule","EC number","Reaction order","Diameter","Score"
"MNXR2613_MNXM1378","([#1:1]-[#6:2](-[#6:4](-[#6:7](-[#6:10](-[#7:13]=[#6:14](-[#8:16])-[#6:15])(-[#1:11])-[#1:12])(-[#1:8])-[#1:9])(-[#1:5])-[#1:6])=[#8:3])>>([#1]-[#7](-[#6:2](-[#1])(-[#1:1])-[#6:4](-[#6:7](-[#6:10](-[#7:13]=[#6:14](-[#6:15])-[#8:16])(-[#1:11])-[#1:12])(-[#1:8])-[#1:9])(-[#1:6])-[#1:5])-[#1].[#1]-[#8:3]-[#1])","1.4.3.-",1,12,1000.0
"MNXR62938_MNXM97338","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#1:7]):[#6:8]2:[#6:9](:[#6:12](-[#6:13]3:[#6:14](-[#1:15]):[#6:16]:[#6:17]:[#7:18]:3-[#1:19]):[#6:20](:[#7:22]:2-[#1:23])-[#1:21]):[#6:10]:1-[#1:11])>>([#1]-[#6:3]1:[#6:4](:[#6:6](:[#6:8]2:[#7:22](:[#6:20](:[#6:12](-[#6:13]3:[#7:18](:[#6:17]:[#6:16]:[#6:14]:3-[#1:15])-[#1:19]):[#6:9]:2:[#6:10]:1-[#1:11])-[#1:21])-[#1:23])-[#1:7])-[#1:5].[#1]-[#7]=[#6](-[#8]-[#1])-[#6]1=[#6](-[#1])-[#7](-[#6](-[#1])=[#6](-[#1])-[#6]-1(-[#1])-[#1:1])-[#6]1(-[#1])-[#8]-[#6](-[#1])(-[#6](-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#6](-[#1])(-[#1])-[#6]2(-[#6](-[#6](-[#1])(-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#6](-[#8]-2)(-[#1])-[#7]2:[#6]3:[#7]:[#6](:[#7]:[#6](-[#7](-[#1])-[#1]):[#6]:3:[#7]:[#6]:2-[#1])-[#1])(-[#1])-[#8]-[#1])-[#1])-[#6](-[#1])(-[#8]-[#1])-[#6]-1(-[#1])-[#8]-[#1].[#8]=[#8:2])","1.14.13",1,12,1000.0
"MNXR62939_MNXM97621","([#1:1]-[#8:2]-[#6:3](=[#8:4])-[#6:5]1:[#6:6](:[#6:7](-[#1:8]):[#6:9](:[#7:13]:1-[#1:14])-[#6:10](:[#6:11]):[#6:12])-[#6:15]1:[#6:16](-[#8:17]-[#1:18]):[#7:19](-[#1:20]):[#6:21]2:[#6:30]:1:[#6:28](:[#6:26](:[#6:24](:[#6:22]:2-[#1:23])-[#1:25])-[#1:27])-[#1:29])>>([#1]-[#6:16]1:[#6:15](:[#6:30]2:[#6:28](:[#6:26](-[#1:27]):[#6:24](:[#6:22](:[#6:21]:2:[#7:19]:1-[#1:20])-[#1:23])-[#1:25])-[#1:29])-[#6:6]1:[#6:5](:[#7:13](:[#6:9](-[#6:10](:[#6:11]):[#6:12]):[#6:7]:1-[#1:8])-[#1:14])-[#6:3](=[#8:4])-[#8:2]-[#1:1].[#1]-[#7]=[#6](-[#8]-[#1])-[#6]1=[#6](-[#1])-[#7](-[#6](-[#1])=[#6](-[#1])-[#6]-1(-[#1])-[#1:18])-[#6]1(-[#1])-[#8]-[#6](-[#1])(-[#6](-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#6](-[#1])(-[#1])-[#6]2(-[#6](-[#6](-[#1])(-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#6](-[#8]-2)(-[#1])-[#7]2:[#6]3:[#7]:[#6](:[#7]:[#6](-[#7](-[#1])-[#1]):[#6]:3:[#7]:[#6]:2-[#1])-[#1])(-[#1])-[#8]-[#1])-[#1])-[#6](-[#1])(-[#8]-[#1])-[#6]-1(-[#1])-[#8]-[#1].[#8]=[#8:17])","1.14.13",1,12,1000.0
"MNXR62940_MNXM88916","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#1:7]):[#6:8]2:[#7:38](-[#1:39]):[#6:36](-[#1:37]):[#6:12](-[#6:13]3=[#6:14](-[#1:15])-[#6:16](-[#6:32](=[#8:33])-[#7:34]-3-[#1:35])=[#6:17]3-[#6:31]4:[#6:22](:[#6:23](-[#1:24]):[#6:25](-[#1:26]):[#6:27](-[#1:28]):[#6:29]:4-[#1:30])-[#7:20](-[#6:18]-3=[#8:19])-[#1:21]):[#6:9]:2:[#6:10]:1-[#1:11])>>([#1]-[#8]-[#6](=[#8])-[#6:32]1:[#6:16](-[#6:17]2:[#6:18](:[#7:20](-[#1:21]):[#6:31]3:[#6:29](-[#1:30]):[#6:27](-[#1:28]):[#6:25](:[#6:23](:[#6:22]:2:3)-[#1:24])-[#1:26])-[#8:19]-[#1]):[#6:14](:[#6:13](-[#6:12]2:[#6:36](:[#7:38](:[#6:8]3:[#6:6](:[#6:4](-[#1:5]):[#6:3](-[#8:2]-[#1:1]):[#6:10](:[#6:9]:2:3)-[#1:11])-[#1:7])-[#1:39])-[#1:37]):[#7:34]:1-[#1:35])-[#1:15].[#8]=[#8:33])","NOEC",1,12,1000.0
"MNXR62941_MNXM97503","([#1:1]-[#8:2]-[#6:3](=[#8:4])-[#6:5]1:[#7:13](-[#1:14]):[#6:9](-[#6:10](:[#6:11]):[#6:12]):[#6:7](-[#1:8]):[#6:6]:1-[#6:15]1:[#6:16](-[#8:17]-[#1:18]):[#7:19](:[#6:21]2:[#6:22](-[#1:23]):[#6:24](-[#1:25]):[#6:26](-[#1:27]):[#6:28](-[#1:29]):[#6:30]:2:1)-[#1:20])>>([#1]-[#6:16]1:[#6:15](-[#6:6]2:[#6:5](-[#6:3](-[#8:2]-[#1:1])=[#8:4]):[#7:13](-[#1:14]):[#6:9](-[#6:10](:[#6:11]):[#6:12]):[#6:7]:2-[#1:8]):[#6:30]2:[#6:21](:[#7:19]:1-[#1:20]):[#6:22](-[#1:23]):[#6:24](-[#1:25]):[#6:26](-[#1:27]):[#6:28]:2-[#1:29].[#1]-[#7]=[#6](-[#8]-[#1])-[#6]1=[#6](-[#1])-[#7](-[#6](-[#1])=[#6](-[#1])-[#6]-1(-[#1])-[#1:18])-[#6]1(-[#1])-[#8]-[#6](-[#1])(-[#6](-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#6](-[#1])(-[#1])-[#6]2(-[#6](-[#6](-[#1])(-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#6](-[#8]-2)(-[#1])-[#7]2:[#6]3:[#7]:[#6](:[#7]:[#6](-[#7](-[#1])-[#1]):[#6]:3:[#7]:[#6]:2-[#1])-[#1])(-[#1])-[#8]-[#1])-[#1])-[#6](-[#1])(-[#8]-[#1])-[#6]-1(-[#1])-[#8]-[#1].[#8]=[#8:17])","1.14.13",1,12,1000.0
"MNXR62942_MNXM98206","([#1:1]-[#6:2]1=[#6:3](-[#6:4]2:[#6:18]3:[#6:16](:[#6:14](:[#6:12](-[#1:13]):[#6:10](:[#6:9]:3:[#7:7](-[#1:8]):[#6:5]:2-[#1:6])-[#1:11])-[#1:15])-[#1:17])-[#7:19](-[#6:21](-[#6:23]-1=[#6:24]1-[#6:38]2:[#6:29](-[#7:27](-[#1:28])-[#6:25]-1=[#8:26]):[#6:30](-[#1:31]):[#6:32](-[#1:33]):[#6:34](-[#1:35]):[#6:36]:2-[#1:37])=[#8:22])-[#1:20])>>([#1]-[#8]-[#6](=[#8])-[#6:21]1:[#6:23](-[#6:24]2:[#6:29]3:[#6:38](:[#7:27](-[#1:28]):[#6:25]:2-[#8:26]-[#1]):[#6:36](-[#1:37]):[#6:34](:[#6:32](:[#6:30]:3-[#1:31])-[#1:33])-[#1:35]):[#6:2](-[#1:1]):[#6:3](-[#6:4]2:[#6:18]3:[#6:9](:[#7:7](-[#1:8]):[#6:5]:2-[#1:6]):[#6:10](:[#6:12](-[#1:13]):[#6:14](-[#1:15]):[#6:16]:3-[#1:17])-[#1:11]):[#7:19]:1-[#1:20].[#8]=[#8:22])","NOEC",1,12,1000.0
"MNXR62943_MNXM98911","([#1:1]-[#6:2]1-[#6:22](-[#6:23]2:[#6:37]3:[#6:35](:[#6:33](:[#6:31](-[#1:32]):[#6:29](:[#6:28]:3:[#7:26](-[#1:27]):[#6:24]:2-[#1:25])-[#1:30])-[#1:34])-[#1:36])=[#7:21]-[#6:19](=[#8:20])-[#6:3]=1-[#6:4]1:[#6:18]2:[#6:9](:[#7:7](-[#1:8]):[#6:5]:1-[#1:6]):[#6:10](-[#1:11]):[#6:12](-[#1:13]):[#6:14](-[#1:15]):[#6:16]:2-[#1:17])>>([#1]-[#8]-[#6](=[#8])-[#6:19]1:[#6:3](:[#6:2](:[#6:22](:[#7:21]:1-[#1])-[#6:23]1:[#6:37]2:[#6:28](:[#7:26](-[#1:27]):[#6:24]:1-[#1:25]):[#6:29](:[#6:31](-[#1:32]):[#6:33](-[#1:34]):[#6:35]:2-[#1:36])-[#1:30])-[#1:1])-[#6:4]1:[#6:18]2:[#6:9](:[#6:10](-[#1:11]):[#6:12](:[#6:14](-[#1:15]):[#6:16]:2-[#1:17])-[#1:13]):[#7:7](-[#1:8]):[#6:5]:1-[#1:6].[#8]=[#8:20])","NOEC",1,12,1000.0
"MNXR62944_MNXM98919","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#1:7]):[#6:8]2:[#7:37](-[#1:38]):[#6:35](-[#1:36]):[#6:12](-[#6:13]3=[#7:14]-[#6:15](=[#8:16])-[#6:17](=[#6:33]-3-[#1:34])-[#6:18]3:[#6:32]4:[#6:23](:[#6:24](-[#1:25]):[#6:26](-[#1:27]):[#6:28](-[#1:29]):[#6:30]:4-[#1:31]):[#7:21](:[#6:19]:3-[#1:20])-[#1:22]):[#6:9]:2:[#6:10]:1-[#1:11])>>([#1]-[#8]-[#6](-[#6:15]1:[#6:17](-[#6:18]2:[#6:19](:[#7:21](:[#6:23]3:[#6:32]:2:[#6:30](-[#1:31]):[#6:28](-[#1:29]):[#6:26](-[#1:27]):[#6:24]:3-[#1:25])-[#1:22])-[#1:20]):[#6:33](-[#1:34]):[#6:13](-[#6:12]2:[#6:9]3:[#6:8](:[#6:6](:[#6:4](-[#1:5]):[#6:3](-[#8:2]-[#1:1]):[#6:10]:3-[#1:11])-[#1:7]):[#7:37](-[#1:38]):[#6:35]:2-[#1:36]):[#7:14]:1-[#1])=[#8].[#8]=[#8:16])","NOEC",1,12,1000.0
"MNXR76570_MNXM10640","([#1:1]-[#7:2]=[#6:3](-[#6:4](=[#8:5])-[#8:6]-[#1:7])-[#6:8](-[#1:9])(-[#1:10])-[#6:11]1:[#6:12](-[#1:13]):[#7:14](:[#6:16]2:[#6:17](-[#1:18]):[#6:19]:[#6:20](-[#1:21]):[#6:22](-[#1:23]):[#6:24]:2:1)-[#1:15])>>([#1]-[#7:2](-[#1:1])-[#6:3](-[#6:8](-[#1:9])(-[#1:10])-[#6:11]1:[#6:12](:[#7:14](-[#1:15]):[#6:16]2:[#6:24]:1:[#6:22](:[#6:20](-[#1:21]):[#6:19]:[#6:17]:2-[#1:18])-[#1:23])-[#1:13])(-[#6:4](=[#8:5])-[#8:6]-[#1:7])-[#1])","1.4.3",1,12,1000.0
"MNXR85789_MNXM316","([#1:1]-[#8:2]-[#6:3]1(-[#1:4])-[#6:14](-[#1:15])(-[#6:8](-[#6:10](-[#1:11])(-[#1:12])-[#1:13])(-[#1:9])-[#8:7]-[#6:5]-1(-[#7:18]1:[#6:23](:[#7:24]):[#6:22]:[#7:21]:[#6:19]:1-[#1:20])-[#1:6])-[#8:16]-[#1:17])>>([#1]-[#8]-[#6](=[#8])-[#6](-[#1])(-[#7](-[#1])-[#1])-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#16&+](-[#6](-[#1])(-[#1])-[#1])-[#6:10](-[#1:11])(-[#1:12])-[#6:8]1(-[#6:14](-[#6:3](-[#1:4])(-[#8:2]-[#1:1])-[#6:5](-[#1:6])(-[#7:18]2:[#6:19](-[#1:20]):[#7:21]:[#6:22]:[#6:23]:2:[#7:24])-[#8:7]-1)(-[#1:15])-[#8:16]-[#1:17])-[#1:9].[#1]-[#8]-[#6](=[#8])-[#6]1:[#6](-[#1]):[#6](-[#1]):[#6](-[#1:13]):[#6](:[#6]:1-[#1])-[#6](=[#8])-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#6]1(-[#1])-[#8]-[#6](-[#1])(-[#8]-[#1])-[#6](-[#1])(-[#8]-[#1])-[#6]-1(-[#1])-[#8]-[#1])-[#1])","1.21.98.1",1,12,1000.0
"MNXR85789_MNXM61","([#1:1]-[#8:2]-[#6:3](-[#6:5](-[#1:6])(-[#6:10](-[#1:11])(-[#1:12])-[#6:13](-[#16:16]-[#6:17](-[#1:18])(-[#1:19])-[#1:20])(-[#1:14])-[#1:15])-[#7:7](-[#1:8])-[#1:9])=[#8:4])>>([#1]-[#8]-[#6]1(-[#1])-[#6](-[#6](-[#6](-[#16&+:16](-[#6:13](-[#6:10](-[#6:5](-[#6:3](-[#8:2]-[#1:1])=[#8:4])(-[#1:6])-[#7:7](-[#1:8])-[#1:9])(-[#1:11])-[#1:12])(-[#1:14])-[#1:15])-[#6:17](-[#1:18])(-[#1:19])-[#1:20])(-[#1])-[#1])(-[#1])-[#8]-[#6]-1(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](-[#1]):[#7]:[#6]:1:2)-[#7](-[#1])-[#1])(-[#1])-[#8]-[#1])","1.21.98.1",1,12,1000.0
"MNXR85789_MNXM7216","([#1:1]-[#8:2]-[#6:3](=[#8:4])-[#6:5]1:[#6:6](-[#1:7]):[#6:8](-[#1:9]):[#6:10]2-[#6:22]3(-[#8:23]-[#6:24](-[#1:25])(-[#8:26]-[#1:27])-[#6:28](-[#8:30]-[#1:31])(-[#6:32]-3(-[#1:33])-[#8:34]-[#1:35])-[#1:29])-[#6:19](-[#6:16](-[#1:17])(-[#1:18])-[#6:14](=[#8:15])-[#6:11]:2:[#6:12]:1-[#1:13])(-[#1:20])-[#1:21])>>([#1]-[#6:10]1:[#6:8](:[#6:6](:[#6:5](-[#6:3](-[#8:2]-[#1:1])=[#8:4]):[#6:12](:[#6:11]:1-[#6:14](=[#8:15])-[#6:16](-[#1:17])(-[#1:18])-[#6:19](-[#1:21])(-[#6:22]1(-[#1])-[#8:23]-[#6:24](-[#1:25])(-[#8:26]-[#1:27])-[#6:28](-[#1:29])(-[#8:30]-[#1:31])-[#6:32]-1(-[#1:33])-[#8:34]-[#1:35])-[#1:20])-[#1:13])-[#1:7])-[#1:9])","1.21.98.1",1,12,1000.0
"MNXR87814_MNXM10640","([#1:1]-[#7:2]=[#6:3](-[#6:4](=[#8:5])-[#8:6]-[#1:7])-[#6:8](-[#1:9])(-[#1:10])-[#6:11]1:[#6:12](-[#1:13]):[#7:14](:[#6:16]2:[#6:17](-[#1:18]):[#6:19](-[#1:20]):[#6:21](-[#1:22]):[#6:23](-[#1:24]):[#6:25]:2:1)-[#1:15])>>([#1]-[#6]1:[#6](-[#1]):[#6](-[#1]):[#6]2:[#7](:[#6](:[#6](-[#6]3:[#6](-[#1:9]):[#6:8](-[#6:11]4:[#6:25]5:[#6:23](-[#1:24]):[#6:21](-[#1:22]):[#6:19](:[#6:17](-[#1:18]):[#6:16]:5:[#7:14](:[#6:12]:4-[#1:13])-[#1:15])-[#1:20]):[#6:3](-[#6:4](=[#8:5])-[#8:6]-[#1:7]):[#7:2]:3-[#1:1]):[#6]:2:[#6]:1-[#1])-[#1])-[#1].[#1]-[#7&+](-[#1:10])(-[#1])-[#1])","NOEC",1,12,1000.0
"MNXR87814_MNXM97268","([#1:1]-[#8:2]-[#6:3](=[#8:4])-[#6:5]1:[#7:40](-[#1:41]):[#6:24](:[#6:22](-[#1:23]):[#6:6]:1-[#6:7]1:[#6:21]2:[#6:19](-[#1:20]):[#6:17](-[#1:18]):[#6:15](:[#6:13](-[#1:14]):[#6:12]:2:[#7:10](:[#6:8]:1-[#1:9])-[#1:11])-[#1:16])-[#6:25]1:[#6:26](:[#7:28](-[#1:29]):[#6:30]2:[#6:31](-[#1:32]):[#6:33](-[#1:34]):[#6:35](:[#6:37](-[#1:38]):[#6:39]:2:1)-[#1:36])-[#1:27])>>([#1]-[#6:6](-[#6:5](=[#7:40]-[#1:41])-[#6:3](=[#8:4])-[#8:2]-[#1:1])(-[#1:23])-[#6:7]1:[#6:8](-[#1:9]):[#7:10](:[#6:12]2:[#6:13](-[#1:14]):[#6:15](-[#1:16]):[#6:17](-[#1:18]):[#6:19](-[#1:20]):[#6:21]:2:1)-[#1:11].[#1]-[#7]=[#6:22](-[#6](=[#8])-[#8]-[#1])-[#6:24](-[#1])(-[#1])-[#6:25]1:[#6:26](-[#1:27]):[#7:28](:[#6:30]2:[#6:31](-[#1:32]):[#6:33](-[#1:34]):[#6:35](-[#1:36]):[#6:37](-[#1:38]):[#6:39]:2:1)-[#1:29])","NOEC",1,12,1000.0
